episode,reward,runtime_sec
1,1.0,0.06453229999988253
2,0.9,0.032758400000602705
3,1.0,0.018111499999577063
4,0.9,0.029397100000096543
5,1.0,0.019523100000697013
6,1.0,0.02232339999955002
7,0.7,0.04582639999989624
8,1.0,0.023248100000273553
9,1.0,0.028761699999449775
10,0.8,0.04659260000062204
11,0.9,0.02966680000008637
12,1.0,0.018294499999683467
13,1.0,0.018140900000616966
14,0.9,0.023471600000448234
15,1.0,0.015633099999831757
16,1.0,0.019373900000573485
17,0.9,0.030121100000542356
18,0.8,0.03666259999954491
19,1.0,0.018095800000082818
20,1.0,0.016826499999297084
21,0.9,0.02700719999938883
22,1.0,0.01706350000040402
23,0.8,0.03317929999957414
24,0.9,0.02581559999998717
25,1.0,0.018986299999596667
26,1.0,0.018498499999623164
27,1.0,0.018730600000708364
28,1.0,0.01911019999988639
29,1.0,0.017914300000484218
30,1.0,0.01716400000077556
31,1.0,0.017095600000175182
32,1.0,0.020258999999896332
33,1.0,0.017912999999680324
34,0.9,0.026781800000208023
35,0.9,0.028519100000266917
36,1.0,0.018776099999740836
37,1.0,0.016403600000558072
38,1.0,0.017753599999196013
39,1.0,0.016375600000174018
40,1.0,0.0186385999995764
41,1.0,0.019383599999855505
42,0.9,0.02347009999994043
43,1.0,0.01768290000018169
44,1.0,0.018267500000547443
45,1.0,0.02051949999986391
46,1.0,0.01688650000050984
47,1.0,0.015598800000589108
48,1.0,0.016550500000448665
49,1.0,0.01945140000043466
50,0.9,0.022274999999353895
51,1.0,0.016279800000120304
52,1.0,0.01731000000017957
53,1.0,0.016599399999904563
54,1.0,0.019065299999965646
55,0.9,0.025926000000254135
56,1.0,0.019206700000722776
57,1.0,0.01648380000006
58,1.0,0.01830379999955767
59,1.0,0.017627700000048208
60,1.0,0.016870199999175384
61,1.0,0.01717129999997269
62,1.0,0.01699590000043827
63,1.0,0.015534899999693152
64,0.8,0.030597400000260677
65,1.0,0.015259099999639147
66,1.0,0.015581900000142923
67,1.0,0.0154990999999427
68,1.0,0.015533300000242889
69,1.0,0.01390830000036658
70,1.0,0.01348020000023098
71,1.0,0.014913500000147906
72,1.0,0.016310900000462425
73,1.0,0.015354600000136998
74,1.0,0.013789700000415905
75,0.8,0.027609300000221992
76,1.0,0.015465199999198376
77,1.0,0.014127000000371481
78,1.0,0.01642580000043381
79,1.0,0.017142699999567412
80,1.0,0.014108899999882851
81,1.0,0.01478780000070401
82,1.0,0.016493899999659334
83,1.0,0.018142400000215275
84,0.9,0.024884499999643594
85,1.0,0.018735800000285963
86,1.0,0.020539999999527936
87,1.0,0.022985599999628903
88,1.0,0.016876299999239563
89,1.0,0.015467100000023493
90,1.0,0.015819500000361586
91,1.0,0.015413999999509542
92,1.0,0.01799739999933081
93,1.0,0.015326700000514393
94,1.0,0.017331399999420682
95,1.0,0.015491999999539985
96,1.0,0.017284900000049674
97,0.9,0.027800300000308198
98,0.9,0.02317219999986264
99,1.0,0.016059700000369048
100,1.0,0.01697749999948428
101,0.9,0.03226749999976164
102,1.0,0.0159192000000985
103,1.0,0.01620710000042891
104,1.0,0.01601120000032097
105,1.0,0.018741900000350142
106,1.0,0.017573000000083994
107,0.9,0.025313099999948463
108,1.0,0.020796599999812315
109,1.0,0.019361399999979767
110,0.9,0.022746100000404113
111,1.0,0.015100500000698958
112,1.0,0.016059100000347826
113,1.0,0.0156092000006538
114,1.0,0.014981799999986833
115,1.0,0.03775889999997162
116,1.0,0.02120160000049509
117,1.0,0.017848500000582135
118,1.0,0.016100099999675876
119,0.9,0.023484000000280503
120,1.0,0.015517699999691104
121,1.0,0.015816600000107428
122,1.0,0.018247000000883418
123,0.9,0.025355599999784317
124,1.0,0.01696139999967272
125,1.0,0.017049199999746634
126,1.0,0.01927830000022368
127,1.0,0.020857900000009977
128,0.9,0.022662800000034622
129,1.0,0.015773099999933038
130,0.9,0.022318799999993644
131,1.0,0.015434400000231108
132,1.0,0.018276800000421645
133,1.0,0.016177800000150455
134,1.0,0.017014299999573268
135,1.0,0.017901199999869277
136,1.0,0.01672260000032111
137,1.0,0.015892999999778112
138,1.0,0.016463199999634526
139,1.0,0.016127099999721395
140,1.0,0.015857299999879615
141,0.9,0.025458299999627343
142,1.0,0.01882759999989503
143,1.0,0.01668950000021141
144,1.0,0.01567979999981617
145,1.0,0.016101199999866367
146,1.0,0.0184041000002253
147,1.0,0.017284900000049674
148,1.0,0.015690899999754038
149,1.0,0.01534300000002986
150,1.0,0.01577409999936208
151,1.0,0.0178144000001339
152,0.9,0.027768800000558258
153,1.0,0.0195333000001483
154,1.0,0.0172642999996242
155,1.0,0.017735499999616877
156,1.0,0.026332600000387174
157,1.0,0.0839626999995744
158,1.0,0.016227000000071712
159,1.0,0.03709740000067541
160,1.0,0.023202999999739404
161,1.0,0.02016780000030849
162,1.0,0.024685299999873678
163,1.0,0.018940199999633478
164,1.0,0.017837299999882816
165,1.0,0.015330700000049546
166,1.0,0.019601800000600633
167,1.0,0.016542399999707413
168,0.9,0.021513400000003458
169,1.0,0.01947939999990922
170,1.0,0.0179747000001953
171,1.0,0.01772259999961534
172,1.0,0.01791030000003957
173,1.0,0.015379199999188131
174,1.0,0.01848100000006525
175,1.0,0.017236900000170863
176,1.0,0.01653069999974832
177,1.0,0.016364499999326654
178,1.0,0.01549799999975221
179,1.0,0.01562740000008489
180,1.0,0.015569600000162609
181,1.0,0.015259299999343057
182,1.0,0.016684199999872362
183,1.0,0.016446900000119058
184,1.0,0.015181300000222109
185,1.0,0.020549400000163587
186,1.0,0.020945499999470485
187,1.0,0.02058619999934308
188,1.0,0.017973300000448944
189,0.9,0.02328250000027765
190,1.0,0.015588400000524416
191,0.9,0.026544500000454718
192,1.0,0.017417500000192376
193,1.0,0.01586059999954159
194,1.0,0.016515599999365804
195,1.0,0.01789420000022801
196,1.0,0.017850499999440217
197,1.0,0.017581999999492837
198,1.0,0.015969699999914155
199,0.8,0.03217300000051182
200,1.0,0.015495300000111456
201,1.0,0.015975799999978335
202,1.0,0.01759059999949386
203,1.0,0.01828670000031707
204,1.0,0.01980569999977888
205,1.0,0.01772389999950974
206,1.0,0.016714000000320084
207,1.0,0.017786200000045937
208,1.0,0.01645569999982399
209,1.0,0.01798490000055608
210,1.0,0.016036399999393325
211,1.0,0.0162997000006726
212,1.0,0.01735599999938131
213,1.0,0.018535500000325555
214,1.0,0.017973799999708717
215,1.0,0.016619600000012724
216,0.8,0.03563729999950738
217,1.0,0.016928500000176427
218,1.0,0.01745649999975285
219,1.0,0.01668840000002092
220,1.0,0.016091899999992165
221,1.0,0.016576099999838334
222,1.0,0.017046999999365653
223,1.0,0.015938900000037393
224,1.0,0.01707780000015191
225,0.7,0.04182979999950476
226,0.9,0.023417399999743793
227,1.0,0.015546999999969557
228,1.0,0.015901300000223273
229,1.0,0.015669399999751477
230,1.0,0.015991899999789894
231,1.0,0.01578920000065409
232,1.0,0.017071400000531867
233,0.9,0.02413799999976618
234,1.0,0.01651209999999992
235,1.0,0.01679610000064713
236,1.0,0.01752200000009907
237,1.0,0.017101400000683498
238,0.9,0.02566729999944073
239,1.0,0.016932000000451808
240,0.9,0.023295599999983096
241,0.9,0.025984999999309366
242,0.9,0.0244366999995691
243,1.0,0.016515799999979208
244,1.0,0.01743369999985589
245,1.0,0.01833690000057686
246,1.0,0.020822299999963434
247,1.0,0.016432999999778986
248,1.0,0.01609920000009879
249,1.0,0.01584160000038537
250,1.0,0.016057499999988067
